timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946833918409,2,8,25,16,20,5,6,0
1523946833927436,-2,-13,-22,-10,-12,-13,-24,-10
1523946833927436,6,4,-9,-1,4,-20,32,12
1523946833941470,-3,-2,-4,2,-15,-17,-10,-2
1523946833941470,0,2,5,6,1,12,6,-3
1523946833948492,-1,-4,-9,1,35,12,-1,2
1523946833948492,-4,0,-3,-11,-19,-19,-15,-6
1523946833955506,0,-2,3,-2,-19,30,4,-3
1523946833955506,-5,-4,-3,-1,-14,2,-1,2
1523946833964531,2,2,1,18,-22,8,13,3
1523946833964531,-5,-14,-24,-38,-11,-5,-18,-9
1523946833978571,1,6,10,2,21,-6,3,1
1523946833978571,-5,0,19,-31,-15,-3,-8,-7
1523946833987592,-1,-1,5,8,23,-4,3,-1
1523946833987592,-1,-5,-19,-11,5,-9,-6,-6
1523946834002632,-3,8,21,16,-4,5,6,-1
1523946834002632,1,-10,-27,-17,-6,-9,-11,2
1523946834003634,-2,5,8,23,20,15,22,6
1523946834003634,-1,-3,2,-13,-21,-17,-19,-6
1523946834015666,-5,0,-4,23,46,27,5,-5
1523946834015666,3,-5,-7,-2,-61,-27,-5,3
1523946834024690,0,2,3,-1,18,-9,-7,-2
1523946834024690,-3,-8,-18,-1,-25,2,-10,-7
1523946834038729,1,-4,-5,-4,-5,14,-2,-1
1523946834038729,0,-2,-10,-1,-5,5,10,2
1523946834047752,-2,-4,-6,-15,-26,1,-3,-1
1523946834047752,-2,3,14,-1,20,0,-1,-1
1523946834061790,4,4,7,-6,-15,-10,1,3
1523946834061790,-4,-2,-1,5,13,8,2,-4
1523946834063795,2,0,-4,2,-40,-9,2,0
1523946834063795,0,-1,4,-16,25,-6,1,-1
1523946834075829,-2,-4,-13,-5,-7,6,-5,-4
1523946834075829,-3,-8,-18,-1,-20,12,2,-2
1523946834084851,0,-2,-3,-3,18,-12,-3,1
1523946834084851,2,1,3,12,-40,7,1,5
1523946834097885,0,6,15,19,29,15,14,3
1523946834097885,1,1,3,-11,13,34,-3,1
